order_id,product_id,country,phone_number,payment_mode,signup_date,amount,status,errors
ORD00001,PROD00001,Singapore,87654321,Credit Card,15-06-2024,1001,VALID,
ORD00002,PROD00002,India,9876543210,Debit Card,15-06-2024,1002,VALID,
ORD00003,PROD00003,Singapore,87654321,Cash,15-06-2024,1003,VALID,
ORD00004,PROD00004,India,9876543210,Net Banking,15-06-2024,1004,VALID,
ORD00005,PROD00005,Singapore,87654321,UPI,15-06-2024,1005,VALID,
ORD00006,PROD00006,India,9876543210,Credit Card,15-06-2024,1006,VALID,
ORD00007,PROD00007,Singapore,87654321,Debit Card,15-06-2024,1007,VALID,
ORD00008,PROD00008,India,9876543210,Cash,15-06-2024,1008,VALID,
ORD00009,PROD00009,Singapore,87654321,Net Banking,15-06-2024,1009,VALID,
ORD00010,PROD00010,India,9876543210,UPI,15-06-2024,1010,VALID,
ORD00011,PROD00011,Singapore,87654321,Credit Card,15-06-2024,1011,VALID,
ORD00012,PROD00012,India,9876543210,Debit Card,15-06-2024,1012,VALID,
ORD00013,PROD00013,Singapore,87654321,Cash,15-06-2024,1013,VALID,
ORD00014,PROD00014,India,9876543210,Net Banking,15-06-2024,1014,VALID,
ORD00015,PROD00015,Singapore,87654321,UPI,15-06-2024,1015,VALID,
ORD00016,PROD00016,India,9876543210,Credit Card,15-06-2024,1016,VALID,
ORD00017,PROD00017,Singapore,87654321,Debit Card,15-06-2024,1017,VALID,
ORD00018,PROD00018,India,9876543210,Cash,15-06-2024,1018,VALID,
ORD00019,PROD00019,Singapore,87654321,Net Banking,15-06-2024,1019,VALID,
ORD00020,PROD00020,India,9876543210,UPI,15-06-2024,1020,VALID,
ORD00021,PROD00021,Singapore,87654321,Credit Card,15-06-2024,1021,VALID,
ORD00022,PROD00022,India,9876543210,Debit Card,15-06-2024,1022,VALID,
ORD00023,PROD00023,Singapore,87654321,Cash,15-06-2024,1023,VALID,
ORD00024,PROD00024,India,9876543210,Net Banking,15-06-2024,1024,VALID,
ORD00025,PROD00025,Singapore,87654321,UPI,15-06-2024,1025,VALID,
ORD00026,PROD00026,India,9876543210,Credit Card,15-06-2024,1026,VALID,
ORD00027,PROD00027,Singapore,87654321,Debit Card,15-06-2024,1027,VALID,
ORD00028,PROD00028,India,9876543210,Cash,15-06-2024,1028,VALID,
ORD00029,PROD00029,Singapore,87654321,Net Banking,15-06-2024,1029,VALID,
ORD00030,PROD00030,India,9876543210,UPI,15-06-2024,1030,VALID,
ORD00031,PROD00031,Singapore,87654321,Credit Card,15-06-2024,1031,VALID,
ORD00032,PROD00032,India,9876543210,Debit Card,15-06-2024,1032,VALID,
ORD00033,PROD00033,Singapore,87654321,Cash,15-06-2024,1033,VALID,
ORD00034,PROD00034,India,9876543210,Net Banking,15-06-2024,1034,VALID,
ORD00035,PROD00035,Singapore,87654321,UPI,15-06-2024,1035,VALID,
ORD00036,PROD00036,India,9876543210,Credit Card,15-06-2024,1036,VALID,
ORD00037,PROD00037,Singapore,87654321,Debit Card,15-06-2024,1037,VALID,
ORD00038,PROD00038,India,9876543210,Cash,15-06-2024,1038,VALID,
ORD00039,PROD00039,Singapore,87654321,Net Banking,15-06-2024,1039,VALID,
ORD00040,PROD00040,India,9876543210,UPI,15-06-2024,1040,VALID,
ORD00041,PROD00041,Singapore,87654321,Credit Card,15-06-2024,1041,VALID,
ORD00042,PROD00042,India,9876543210,Debit Card,15-06-2024,1042,VALID,
ORD00043,PROD00043,Singapore,87654321,Cash,15-06-2024,1043,VALID,
ORD00044,PROD00044,India,9876543210,Net Banking,15-06-2024,1044,VALID,
ORD00045,PROD00045,Singapore,87654321,UPI,15-06-2024,1045,VALID,
ORD00046,PROD00046,India,9876543210,Credit Card,15-06-2024,1046,VALID,
ORD00047,PROD00047,Singapore,87654321,Debit Card,15-06-2024,1047,VALID,
ORD00048,PROD00048,India,9876543210,Cash,15-06-2024,1048,VALID,
ORD00049,PROD00049,Singapore,87654321,Net Banking,15-06-2024,1049,VALID,
ORD00050,PROD00050,India,9876543210,UPI,15-06-2024,1050,VALID,
ORD00051,PROD00051,Singapore,87654321,Credit Card,15-06-2024,1051,VALID,
ORD00052,PROD00052,India,9876543210,Debit Card,15-06-2024,1052,VALID,
ORD00053,PROD00053,Singapore,87654321,Cash,15-06-2024,1053,VALID,
ORD00054,PROD00054,India,9876543210,Net Banking,15-06-2024,1054,VALID,
ORD00055,PROD00055,Singapore,87654321,UPI,15-06-2024,1055,VALID,
ORD00056,PROD00056,India,9876543210,Credit Card,15-06-2024,1056,VALID,
ORD00057,PROD00057,Singapore,87654321,Debit Card,15-06-2024,1057,VALID,
ORD00058,PROD00058,India,9876543210,Cash,15-06-2024,1058,VALID,
ORD00059,PROD00059,Singapore,87654321,Net Banking,15-06-2024,1059,VALID,
ORD00060,PROD00060,India,9876543210,UPI,15-06-2024,1060,VALID,
ORD00061,PROD00061,Singapore,87654321,Credit Card,15-06-2024,1061,VALID,
ORD00062,PROD00062,India,9876543210,Debit Card,15-06-2024,1062,VALID,
ORD00063,PROD00063,Singapore,87654321,Cash,15-06-2024,1063,VALID,
ORD00064,PROD00064,India,9876543210,Net Banking,15-06-2024,1064,VALID,
ORD00065,PROD00065,Singapore,87654321,UPI,15-06-2024,1065,VALID,
ORD00066,PROD00066,India,9876543210,Credit Card,15-06-2024,1066,VALID,
ORD00067,PROD00067,Singapore,87654321,Debit Card,15-06-2024,1067,VALID,
ORD00068,PROD00068,India,9876543210,Cash,15-06-2024,1068,VALID,
ORD00069,PROD00069,Singapore,87654321,Net Banking,15-06-2024,1069,VALID,
ORD00070,PROD00070,India,9876543210,UPI,15-06-2024,1070,VALID,
ORD00071,PROD00071,Singapore,87654321,Credit Card,15-06-2024,1071,VALID,
ORD00072,PROD00072,India,9876543210,Debit Card,15-06-2024,1072,VALID,
ORD00073,PROD00073,Singapore,87654321,Cash,15-06-2024,1073,VALID,
ORD00074,PROD00074,India,9876543210,Net Banking,15-06-2024,1074,VALID,
ORD00075,PROD00075,Singapore,87654321,UPI,15-06-2024,1075,VALID,
ORD00076,PROD00076,India,9876543210,Credit Card,15-06-2024,1076,VALID,
ORD00077,PROD00077,Singapore,87654321,Debit Card,15-06-2024,1077,VALID,
ORD00078,PROD00078,India,9876543210,Cash,15-06-2024,1078,VALID,
ORD00079,PROD00079,Singapore,87654321,Net Banking,15-06-2024,1079,VALID,
ORD00080,PROD00080,India,9876543210,UPI,15-06-2024,1080,VALID,
ORD00081,PROD00081,Singapore,87654321,Credit Card,15-06-2024,1081,VALID,
ORD00082,PROD00082,India,9876543210,Debit Card,15-06-2024,1082,VALID,
ORD00083,PROD00083,Singapore,87654321,Cash,15-06-2024,1083,VALID,
ORD00084,PROD00084,India,9876543210,Net Banking,15-06-2024,1084,VALID,
ORD00085,PROD00085,Singapore,87654321,UPI,15-06-2024,1085,VALID,
ORD00086,PROD00086,India,9876543210,Credit Card,15-06-2024,1086,VALID,
ORD00087,PROD00087,Singapore,87654321,Debit Card,15-06-2024,1087,VALID,
ORD00088,PROD00088,India,9876543210,Cash,15-06-2024,1088,VALID,
ORD00089,PROD00089,Singapore,87654321,Net Banking,15-06-2024,1089,VALID,
ORD00090,PROD00090,India,9876543210,UPI,15-06-2024,1090,VALID,
ORD00091,PROD00091,Singapore,87654321,Credit Card,15-06-2024,1091,VALID,
ORD00092,PROD00092,India,9876543210,Debit Card,15-06-2024,1092,VALID,
ORD00093,PROD00093,Singapore,87654321,Cash,15-06-2024,1093,VALID,
ORD00094,PROD00094,India,9876543210,Net Banking,15-06-2024,1094,VALID,
ORD00095,PROD00095,Singapore,87654321,UPI,15-06-2024,1095,VALID,
ORD00096,PROD00096,India,9876543210,Credit Card,15-06-2024,1096,VALID,
ORD00097,PROD00097,Singapore,87654321,Debit Card,15-06-2024,1097,VALID,
ORD00098,PROD00098,India,9876543210,Cash,15-06-2024,1098,VALID,
ORD00099,PROD00099,Singapore,87654321,Net Banking,15-06-2024,1099,VALID,
ORD00100,PROD00100,India,9876543210,UPI,15-06-2024,1100,VALID,
ORD00101,PROD00101,Singapore,87654321,Credit Card,15-06-2024,1101,VALID,
ORD00102,PROD00102,India,9876543210,Debit Card,15-06-2024,1102,VALID,
ORD00103,PROD00103,Singapore,87654321,Cash,15-06-2024,1103,VALID,
ORD00104,PROD00104,India,9876543210,Net Banking,15-06-2024,1104,VALID,
